student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
14102,16,female,private,no formal,2.2,99.5,yes,<15 min,no,group study,53.5,60.3,51.5,53.7,e
14103,15,male,private,graduate,7.8,54.7,yes,<15 min,no,mixed,75.5,85.3,79.7,85.5,b
14104,18,other,private,graduate,1.0,86.8,yes,<15 min,no,notes,33.5,55.5,39.6,37.1,f
14105,19,female,private,graduate,3.6,91.7,no,<15 min,no,coaching,59.6,69.8,68.2,61.6,d
14106,14,male,public,post graduate,6.2,84.7,yes,<15 min,no,notes,89.9,58.2,90.1,81.5,c
14107,14,other,public,high school,5.0,58.4,yes,15-30 min,yes,group study,80.7,77.3,58.5,71.5,c
14108,16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,84.1,83.3,88.2,80.9,c
14109,17,other,private,no formal,5.3,50.2,yes,30-60 min,yes,notes,77.1,67.7,68.5,61.6,d
14110,19,other,private,post graduate,1.0,63.0,yes,<15 min,no,group study,50.5,20.3,36.1,36.7,f
14111,16,female,public,graduate,2.6,96.9,yes,>60 min,yes,notes,55.1,56.7,62.0,60.4,d
14112,16,other,private,post graduate,3.8,93.8,yes,>60 min,yes,online videos,60.2,78.5,80.6,77.6,c
14113,14,male,private,high school,1.3,85.9,yes,15-30 min,yes,mixed,31.9,22.7,40.2,35.4,f
14114,15,other,public,post graduate,3.4,67.1,yes,30-60 min,no,coaching,47.6,75.6,51.9,62.0,d
14115,18,other,private,diploma,5.6,60.6,yes,<15 min,yes,mixed,81.5,69.5,64.9,65.2,d
14116,14,male,private,phd,7.3,91.9,no,15-30 min,no,coaching,94.8,83.8,88.2,93.7,b
14117,14,male,private,graduate,2.6,79.9,yes,>60 min,yes,group study,38.1,72.2,70.5,55.7,d
14118,15,male,private,no formal,2.3,96.4,yes,>60 min,no,coaching,69.5,64.4,73.6,64.7,d
14119,16,female,public,diploma,5.9,62.4,yes,>60 min,yes,mixed,91.9,61.9,100.0,71.0,c
14120,16,female,public,diploma,4.9,96.0,yes,15-30 min,no,textbook,96.2,83.1,83.8,83.5,c
14121,17,male,public,graduate,6.4,94.4,yes,30-60 min,no,group study,91.1,64.3,95.8,83.8,c
14122,14,male,private,diploma,2.6,71.7,yes,15-30 min,yes,notes,48.3,52.2,51.9,43.9,e
14123,19,male,public,phd,5.2,99.3,no,30-60 min,no,group study,89.6,87.7,84.4,87.8,b
14124,17,male,public,high school,6.6,78.2,yes,>60 min,no,notes,99.3,87.7,93.8,91.5,b
14125,16,female,public,diploma,7.8,89.9,no,<15 min,no,group study,99.5,91.7,100.0,95.9,a
14126,15,male,private,no formal,5.2,62.4,yes,>60 min,no,group study,72.9,73.0,74.5,69.0,d
14127,15,female,public,no formal,6.0,75.9,no,<15 min,yes,coaching,67.8,79.9,75.0,73.8,c
14128,16,female,private,high school,7.3,77.5,yes,15-30 min,yes,group study,91.2,84.7,87.9,89.4,b
14129,19,other,public,high school,2.0,70.8,yes,30-60 min,no,group study,47.8,30.8,32.8,36.9,f
14130,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,57.2,50.5,54.1,49.8,e
14131,17,male,public,post graduate,3.6,85.3,no,30-60 min,yes,online videos,82.3,51.9,71.1,64.3,d
14132,18,female,public,graduate,5.3,66.6,yes,30-60 min,no,group study,62.2,86.0,81.3,76.0,c
14133,15,other,private,phd,0.5,90.5,yes,15-30 min,no,notes,56.4,55.0,46.7,48.0,e
14134,19,female,private,high school,1.7,67.8,yes,<15 min,no,mixed,26.0,51.4,54.4,50.0,e
14135,17,other,public,diploma,5.3,76.5,yes,30-60 min,no,notes,89.9,73.4,93.6,80.0,c
14136,19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,99.1,100.0,96.2,95.6,a
14137,16,other,private,high school,7.5,68.8,yes,30-60 min,yes,mixed,77.2,79.1,87.4,84.1,c
14138,15,female,private,phd,4.2,83.5,yes,15-30 min,yes,mixed,57.5,64.7,76.0,66.7,d
14139,17,other,public,post graduate,5.4,71.2,yes,15-30 min,yes,notes,87.2,78.2,77.9,79.6,c
14140,15,male,public,high school,3.9,86.9,yes,30-60 min,no,notes,85.2,84.0,68.8,74.9,c
14141,16,male,public,high school,5.9,88.3,yes,<15 min,no,mixed,66.9,85.4,81.9,79.8,c
14142,15,female,public,post graduate,6.8,78.8,yes,15-30 min,no,online videos,74.6,73.1,97.7,81.5,c
14143,15,other,public,no formal,5.5,96.2,yes,15-30 min,no,textbook,94.9,89.4,100.0,89.3,b
14144,18,male,public,post graduate,7.9,94.4,yes,>60 min,yes,textbook,95.1,95.0,100.0,100.0,a
14145,19,male,private,phd,1.4,87.6,yes,>60 min,yes,notes,33.6,50.8,45.5,41.2,e
14146,19,other,public,high school,7.9,93.7,no,30-60 min,no,mixed,86.5,97.5,89.1,100.0,a
14147,16,male,private,high school,3.3,50.7,yes,<15 min,no,coaching,44.6,65.3,60.5,55.3,d
14148,18,male,public,graduate,6.3,97.2,yes,30-60 min,yes,online videos,97.4,90.8,98.2,84.5,c
14149,14,female,private,high school,3.8,91.3,yes,30-60 min,no,notes,59.5,47.8,60.7,58.8,d
14150,16,male,public,no formal,5.3,50.9,yes,30-60 min,yes,coaching,62.4,48.7,63.3,64.4,d
14151,14,female,public,diploma,7.0,60.3,yes,30-60 min,no,notes,85.7,61.7,69.7,72.0,c
14152,16,other,public,diploma,2.1,78.3,yes,<15 min,no,notes,44.7,33.0,25.8,38.2,f
14153,15,other,public,no formal,3.3,65.7,yes,>60 min,yes,group study,65.0,58.1,47.6,55.8,d
14154,17,male,private,no formal,4.9,71.6,yes,>60 min,no,online videos,66.3,70.8,76.8,70.4,c
14155,14,other,private,diploma,4.4,56.7,yes,<15 min,no,notes,55.7,49.3,66.0,60.4,d
14156,17,other,public,no formal,4.5,55.3,yes,15-30 min,yes,coaching,75.5,71.8,71.0,66.8,d
14157,16,male,private,no formal,4.3,61.8,yes,15-30 min,no,online videos,66.1,73.9,56.7,65.6,d
14158,14,female,public,diploma,0.6,81.0,yes,>60 min,no,online videos,56.6,19.4,28.1,36.1,f
14159,14,female,private,graduate,2.9,89.2,yes,15-30 min,yes,group study,64.1,60.2,51.3,54.9,e
14160,19,other,public,no formal,7.9,83.1,yes,>60 min,yes,group study,100.0,100.0,76.1,97.3,a
14161,17,male,private,high school,3.2,69.2,yes,15-30 min,yes,mixed,50.3,47.8,61.7,54.5,e
14162,18,other,private,no formal,1.5,56.3,yes,>60 min,yes,mixed,50.2,40.8,39.7,31.9,f
14163,19,other,private,post graduate,4.2,50.9,no,<15 min,no,textbook,58.9,76.1,50.7,58.3,d
14164,19,male,public,post graduate,2.4,68.0,yes,<15 min,yes,textbook,48.0,49.6,30.4,38.4,f
14165,14,other,private,post graduate,2.0,63.9,no,>60 min,no,mixed,23.3,37.2,18.2,32.4,f
14166,15,other,private,diploma,5.1,84.3,yes,<15 min,yes,group study,41.0,56.6,51.7,65.9,d
14167,14,other,private,no formal,7.6,63.5,yes,15-30 min,yes,online videos,98.7,100.0,94.7,91.2,b
14168,14,other,public,diploma,4.7,55.6,yes,15-30 min,no,notes,61.6,60.5,69.0,60.2,d
14169,14,male,private,phd,2.4,61.4,yes,>60 min,no,notes,40.9,49.7,44.0,53.5,e
14170,15,male,public,diploma,2.9,75.1,yes,30-60 min,no,online videos,45.1,66.4,45.8,58.1,d
14171,17,other,public,high school,1.2,99.1,yes,>60 min,yes,notes,57.4,69.9,48.7,53.1,e
14172,16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,mixed,45.4,37.1,55.7,46.8,e
14173,15,other,public,diploma,4.6,91.9,yes,15-30 min,yes,group study,77.1,80.7,65.1,76.0,c
14174,14,female,private,post graduate,6.0,60.6,no,>60 min,no,coaching,90.1,64.9,60.4,73.6,c
14175,19,other,private,graduate,0.7,63.5,yes,30-60 min,yes,mixed,24.5,45.8,35.5,40.4,e
14176,14,other,private,diploma,6.4,61.0,yes,>60 min,no,online videos,86.6,82.5,64.3,71.7,c
14177,19,other,private,high school,1.3,53.7,yes,15-30 min,no,coaching,35.9,41.6,36.5,37.3,f
14178,14,female,public,graduate,6.0,62.6,yes,>60 min,yes,notes,72.8,74.7,68.7,78.5,c
14179,17,male,private,diploma,2.9,70.5,yes,>60 min,yes,notes,56.2,62.7,57.4,50.9,e
14180,14,female,public,high school,2.5,99.2,yes,30-60 min,yes,notes,68.3,59.1,57.4,58.4,d
14181,17,other,private,high school,5.7,98.1,yes,30-60 min,yes,textbook,67.2,78.8,100.0,82.2,c
14182,17,male,public,diploma,6.3,50.5,no,<15 min,yes,textbook,61.7,63.8,65.4,62.8,d
14183,17,female,public,diploma,6.3,81.8,yes,>60 min,no,mixed,83.8,95.4,94.5,90.2,b
14184,17,male,private,high school,2.5,96.7,yes,<15 min,yes,online videos,64.5,67.3,60.6,58.2,d
14185,19,male,public,diploma,4.3,95.2,yes,<15 min,yes,online videos,65.3,81.8,79.3,81.3,c
14186,19,female,private,graduate,3.1,88.3,no,<15 min,no,textbook,44.8,43.4,50.2,56.4,d
14187,17,other,public,phd,6.8,79.9,yes,<15 min,no,textbook,97.1,80.5,96.4,87.0,b
14188,16,male,public,high school,2.2,91.1,yes,15-30 min,no,coaching,41.0,55.0,42.8,57.6,d
14189,18,other,public,no formal,2.5,78.6,yes,30-60 min,yes,coaching,34.3,39.9,31.0,41.5,e
14190,15,male,public,post graduate,4.5,88.6,yes,<15 min,no,mixed,69.6,66.0,58.7,70.0,c
14191,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,44.8,48.9,54.0,58.5,d
14192,18,male,private,high school,6.9,74.5,yes,30-60 min,no,group study,74.1,71.5,77.5,76.4,c
14193,18,other,private,graduate,2.3,58.2,yes,<15 min,no,online videos,43.7,34.1,19.7,42.5,e
14194,14,male,private,diploma,4.7,59.8,yes,15-30 min,no,online videos,43.0,74.5,51.9,61.6,d
14195,19,female,private,phd,5.1,61.1,yes,15-30 min,yes,group study,52.2,59.7,52.6,55.4,d
14196,17,other,private,high school,0.6,76.1,no,15-30 min,yes,textbook,39.9,21.9,25.8,26.9,f
14197,17,female,public,phd,2.2,50.1,yes,15-30 min,yes,coaching,33.8,31.8,5.6,30.9,f
14198,15,other,private,phd,2.5,66.3,yes,30-60 min,yes,coaching,43.8,32.5,46.9,45.8,e
14199,14,other,private,no formal,3.7,78.4,no,15-30 min,no,notes,45.7,61.6,35.0,53.9,e
14200,16,other,public,high school,3.7,57.5,yes,15-30 min,yes,online videos,55.7,56.9,31.6,49.6,e
14201,14,male,private,diploma,7.2,65.4,yes,<15 min,yes,mixed,89.0,53.6,63.5,75.3,c
14202,15,male,private,no formal,3.8,63.6,yes,30-60 min,no,coaching,65.3,63.3,53.4,57.4,d
14203,16,other,public,no formal,1.1,81.1,yes,<15 min,yes,coaching,29.6,56.6,33.5,47.2,e
14204,15,female,private,phd,4.2,83.5,yes,15-30 min,yes,mixed,57.5,64.7,76.0,66.7,d
14205,14,female,private,high school,2.7,76.3,yes,30-60 min,yes,online videos,72.7,68.7,43.6,58.6,d
14206,16,male,public,phd,5.8,77.6,yes,30-60 min,yes,coaching,78.2,82.7,76.4,75.0,c
14207,18,female,public,post graduate,6.5,60.8,yes,>60 min,no,mixed,72.9,84.1,99.8,85.1,b
14208,17,other,public,phd,1.4,61.6,no,>60 min,yes,notes,36.1,23.3,16.4,39.5,f
14209,19,male,public,diploma,7.4,97.7,yes,>60 min,no,notes,100.0,95.3,100.0,100.0,a
14210,15,female,public,phd,0.9,86.8,yes,>60 min,no,textbook,68.6,58.7,63.3,51.4,e
14211,18,other,private,post graduate,4.7,90.6,yes,>60 min,yes,coaching,84.8,49.7,60.1,72.8,c
14212,15,male,public,high school,0.9,83.7,yes,>60 min,yes,notes,40.9,52.6,58.5,46.6,e
14213,18,male,public,no formal,4.3,51.5,yes,<15 min,no,online videos,58.1,50.9,74.3,59.2,d
14214,17,female,public,no formal,5.3,72.3,yes,30-60 min,yes,coaching,79.3,90.0,50.2,75.8,c
14215,18,other,private,graduate,2.7,64.2,yes,15-30 min,no,textbook,42.4,42.5,41.4,43.5,e
14216,19,female,public,no formal,6.7,91.5,yes,>60 min,no,textbook,86.2,82.8,89.4,90.3,b
14217,17,other,public,diploma,3.1,91.2,yes,>60 min,yes,coaching,61.7,65.2,63.5,61.3,d
14218,16,male,public,diploma,2.8,71.0,yes,>60 min,no,mixed,73.9,48.0,57.2,49.9,e
14219,17,male,private,diploma,2.9,70.5,yes,>60 min,yes,notes,56.2,62.7,57.4,50.9,e
14220,15,male,public,post graduate,1.8,67.4,yes,<15 min,no,coaching,19.4,51.2,36.9,35.1,f
14221,16,male,private,high school,1.5,85.6,yes,>60 min,yes,mixed,38.9,40.0,28.2,39.8,f
14222,16,female,public,high school,0.6,76.2,no,15-30 min,yes,coaching,31.8,35.8,40.5,30.9,f
14223,14,male,public,diploma,2.7,52.8,yes,15-30 min,no,online videos,44.2,44.3,41.0,39.9,f
14224,16,female,public,post graduate,1.2,66.2,yes,<15 min,no,group study,52.5,44.3,59.1,43.5,e
14225,15,other,public,post graduate,4.7,55.5,no,30-60 min,yes,notes,51.9,62.8,38.3,62.7,d
14226,17,male,public,graduate,4.5,67.2,yes,15-30 min,yes,group study,78.6,64.1,58.8,64.8,d
14227,17,other,private,no formal,7.9,89.4,yes,<15 min,no,online videos,82.7,100.0,93.5,94.9,b
14228,15,female,public,diploma,1.7,94.2,yes,15-30 min,no,group study,51.1,56.5,70.1,58.6,d
14229,16,female,public,diploma,7.3,82.0,no,>60 min,yes,online videos,96.4,100.0,88.0,92.1,b
14230,14,male,private,no formal,3.9,56.2,no,15-30 min,yes,mixed,30.9,42.5,43.7,46.4,e
14231,17,other,private,diploma,3.6,78.5,yes,30-60 min,no,coaching,56.1,71.7,53.0,59.2,d
14232,14,male,private,diploma,4.7,59.8,yes,15-30 min,no,online videos,43.0,74.5,51.9,61.6,d
14233,15,male,public,post graduate,4.2,70.1,yes,<15 min,yes,online videos,65.0,85.1,78.1,68.4,d
14234,15,male,public,phd,6.7,99.4,yes,<15 min,no,group study,95.2,71.3,81.2,91.4,b
14235,18,female,public,no formal,3.3,80.1,yes,>60 min,no,coaching,74.5,43.0,46.9,55.7,d
14236,17,female,public,graduate,2.3,67.4,yes,>60 min,yes,online videos,42.1,44.2,46.3,42.4,e
14237,17,male,private,high school,4.5,59.5,yes,15-30 min,no,online videos,69.3,73.8,52.1,60.1,d
14238,18,other,public,no formal,2.2,86.4,yes,30-60 min,no,online videos,44.3,39.5,28.8,49.3,e
14239,15,female,private,graduate,3.9,71.6,yes,15-30 min,yes,coaching,54.5,60.8,48.6,50.0,e
14240,16,male,private,no formal,2.3,98.4,yes,>60 min,yes,group study,59.5,61.7,56.8,62.8,d
14241,19,other,public,diploma,6.6,69.3,yes,<15 min,yes,coaching,85.4,69.9,75.1,71.8,c
14242,17,other,private,diploma,7.5,98.5,yes,<15 min,yes,mixed,100.0,100.0,95.5,98.9,a
14243,15,male,public,graduate,7.6,59.4,yes,>60 min,yes,online videos,91.2,90.0,83.2,86.1,b
14244,15,other,private,diploma,3.8,78.7,yes,30-60 min,no,group study,53.1,71.8,63.2,54.7,e
14245,16,other,public,phd,5.7,61.0,yes,<15 min,yes,coaching,79.0,92.9,73.6,78.8,c
14246,19,female,public,diploma,7.3,76.1,yes,30-60 min,no,notes,94.5,86.4,100.0,85.3,b
14247,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,67.8,81.5,67.3,76.9,c
14248,16,other,public,graduate,0.7,74.6,yes,<15 min,no,mixed,42.5,37.6,33.6,33.5,f
14249,16,other,public,graduate,1.5,79.2,yes,>60 min,no,group study,49.5,39.7,35.5,46.7,e
14250,17,female,public,phd,3.6,82.7,no,30-60 min,yes,mixed,84.2,68.0,61.8,67.7,d
14251,19,male,public,graduate,4.0,73.0,yes,>60 min,yes,textbook,57.6,64.9,77.2,62.3,d
14252,14,female,private,post graduate,2.2,95.5,yes,<15 min,no,mixed,28.8,51.4,44.8,51.4,e
14253,14,other,private,post graduate,0.7,76.2,yes,>60 min,no,coaching,35.8,33.6,21.6,28.7,f
14254,17,female,private,graduate,2.6,70.0,yes,>60 min,yes,online videos,49.7,49.1,26.2,43.9,e
14255,16,female,private,phd,3.8,71.5,yes,<15 min,no,group study,79.0,71.9,80.2,68.0,d
14256,17,female,private,high school,4.5,52.0,yes,15-30 min,yes,online videos,62.4,63.8,56.4,66.7,d
14257,18,other,private,diploma,4.1,85.6,yes,15-30 min,no,coaching,44.9,66.9,59.5,64.4,d
14258,14,other,public,phd,7.2,86.6,yes,30-60 min,no,mixed,86.0,84.8,100.0,96.2,a
14259,16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,mixed,64.3,47.5,54.3,58.4,d
14260,17,female,private,high school,2.6,85.4,yes,15-30 min,no,online videos,57.5,46.1,40.9,47.3,e
14261,19,female,private,diploma,5.6,96.5,yes,>60 min,yes,coaching,87.6,67.6,81.8,80.4,c
14262,18,male,public,no formal,1.7,67.1,yes,30-60 min,yes,notes,58.6,30.3,40.9,40.1,e
14263,16,male,public,graduate,1.5,88.9,yes,15-30 min,yes,notes,66.5,47.7,64.6,55.3,d
14264,17,other,public,post graduate,4.5,53.6,yes,30-60 min,no,online videos,55.3,65.0,45.5,56.8,d
14265,18,female,public,post graduate,7.7,70.4,yes,15-30 min,no,group study,100.0,100.0,100.0,97.5,a
14266,19,other,private,high school,2.7,65.6,yes,<15 min,yes,coaching,41.2,35.2,68.4,48.8,e
14267,15,male,public,high school,5.2,50.8,yes,<15 min,no,group study,53.0,43.3,64.9,53.0,e
14268,16,other,public,phd,2.2,73.9,yes,<15 min,yes,notes,46.0,57.8,56.4,47.1,e
14269,15,male,public,high school,3.5,62.9,yes,30-60 min,yes,group study,43.5,54.2,66.9,55.2,d
14270,18,female,private,graduate,4.0,87.5,no,15-30 min,yes,mixed,80.3,57.3,64.4,59.1,d
14271,18,other,public,high school,6.0,92.6,yes,>60 min,yes,notes,89.1,77.9,93.2,82.5,c
14272,15,female,public,diploma,2.8,84.0,yes,>60 min,yes,online videos,45.2,53.2,22.3,52.3,e
14273,15,other,public,phd,4.3,56.8,yes,30-60 min,yes,online videos,53.1,54.1,65.9,58.2,d
14274,17,female,private,diploma,3.1,50.3,yes,>60 min,yes,online videos,49.2,51.6,57.6,49.4,e
14275,14,other,public,diploma,4.5,83.0,yes,15-30 min,yes,coaching,63.5,74.2,60.4,60.8,d
14276,19,male,private,post graduate,2.5,73.4,yes,>60 min,yes,notes,66.3,67.1,58.4,56.3,d
14277,17,other,public,high school,2.0,75.6,yes,<15 min,yes,coaching,33.9,43.7,47.4,38.5,f
14278,14,male,public,post graduate,2.3,50.5,no,<15 min,no,group study,23.6,55.7,53.6,45.2,e
14279,16,female,public,phd,3.6,81.9,yes,15-30 min,yes,notes,81.1,62.1,58.5,58.4,d
14280,19,male,private,post graduate,0.7,76.0,yes,30-60 min,yes,notes,36.5,29.5,36.2,27.8,f
14281,17,male,private,phd,6.5,77.1,yes,>60 min,no,mixed,100.0,99.5,81.0,90.8,b
14282,14,other,public,no formal,6.7,54.1,yes,30-60 min,yes,online videos,87.0,81.1,91.2,74.0,c
14283,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,56.7,60.1,53.4,69.6,d
14284,17,male,public,diploma,6.3,84.1,yes,<15 min,yes,notes,85.7,69.6,90.0,81.7,c
14285,17,female,public,post graduate,1.6,86.4,yes,15-30 min,no,group study,43.6,54.6,62.2,52.2,e
14286,17,male,private,post graduate,2.0,84.1,yes,15-30 min,yes,mixed,64.2,74.8,67.7,58.1,d
14287,16,female,public,no formal,5.2,97.0,yes,<15 min,yes,mixed,88.2,83.6,59.7,86.1,b
14288,16,male,public,high school,1.5,60.9,yes,15-30 min,no,mixed,35.7,27.8,49.1,35.1,f
14289,18,other,private,no formal,4.7,58.9,yes,15-30 min,yes,group study,66.0,57.8,65.1,58.3,d
14290,18,other,private,high school,6.2,75.4,yes,<15 min,no,mixed,90.5,82.3,80.6,72.9,c
14291,14,female,private,no formal,3.7,76.7,yes,>60 min,no,online videos,55.5,68.8,61.6,68.6,d
14292,19,other,public,high school,4.4,82.9,yes,15-30 min,yes,notes,92.9,80.7,75.3,73.4,c
14293,19,female,public,graduate,1.0,95.1,no,15-30 min,no,mixed,57.7,42.2,49.8,51.7,e
14294,14,male,public,phd,6.0,59.3,yes,<15 min,yes,textbook,77.0,79.5,86.2,80.2,c
14295,17,female,private,diploma,5.0,63.5,yes,15-30 min,no,coaching,77.5,54.8,67.8,70.9,c
14296,16,male,public,graduate,4.4,53.0,yes,15-30 min,no,coaching,57.4,59.9,62.8,66.1,d
14297,18,other,private,graduate,2.3,58.2,yes,<15 min,no,online videos,43.7,34.1,19.7,42.5,e
14298,17,male,public,no formal,2.3,79.0,yes,30-60 min,yes,textbook,58.3,37.4,49.2,54.2,e
14299,16,male,public,diploma,3.5,99.4,no,30-60 min,no,online videos,80.3,81.6,68.3,68.5,d
14300,16,other,public,high school,7.4,66.4,yes,<15 min,yes,coaching,98.3,94.3,81.2,89.5,b
14301,14,female,public,diploma,5.2,87.5,yes,30-60 min,no,online videos,67.8,88.4,76.7,78.0,c
14302,16,other,private,no formal,2.8,99.6,yes,<15 min,no,mixed,53.8,66.8,74.7,64.3,d
14303,17,male,public,post graduate,2.4,61.5,yes,30-60 min,yes,online videos,48.8,39.3,36.2,41.5,e
14304,14,female,public,phd,0.9,52.5,yes,30-60 min,no,group study,35.6,28.0,27.2,25.2,f
14305,19,other,private,diploma,7.5,60.7,yes,>60 min,yes,textbook,75.1,69.7,93.5,81.2,c
14306,19,other,public,no formal,5.6,84.2,yes,30-60 min,yes,coaching,76.6,92.7,73.6,87.2,b
14307,16,female,public,graduate,5.5,63.6,yes,15-30 min,yes,notes,75.1,77.6,60.9,71.6,c
14308,16,male,public,no formal,2.0,81.0,no,15-30 min,yes,online videos,40.6,52.2,52.8,50.3,e
14309,15,other,public,no formal,5.3,98.2,yes,>60 min,yes,textbook,79.9,74.8,96.1,78.0,c
14310,17,female,public,diploma,5.5,86.3,yes,>60 min,yes,mixed,89.2,83.4,97.3,84.6,c
14311,17,female,private,phd,3.9,88.3,yes,30-60 min,yes,online videos,68.9,51.1,65.8,56.6,d
14312,14,female,private,diploma,5.4,96.1,yes,>60 min,no,textbook,47.5,97.6,65.4,71.8,c
14313,16,other,public,no formal,7.0,65.5,no,<15 min,yes,mixed,71.5,90.9,79.1,74.0,c
14314,15,male,public,phd,5.4,55.3,yes,15-30 min,yes,mixed,58.4,68.2,52.9,67.5,d
14315,15,female,private,high school,2.7,83.2,yes,15-30 min,no,coaching,47.0,57.0,35.4,51.5,e
14316,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,42.9,89.9,63.4,75.4,c
14317,14,female,private,post graduate,6.7,53.8,yes,30-60 min,yes,notes,86.2,66.4,87.1,84.5,c
14318,18,male,public,graduate,7.8,51.6,yes,<15 min,yes,mixed,90.2,88.1,82.1,80.7,c
14319,14,female,private,post graduate,7.9,91.2,yes,30-60 min,yes,coaching,92.2,100.0,100.0,100.0,a
14320,16,other,public,no formal,5.8,87.7,yes,>60 min,no,coaching,57.8,62.9,77.9,75.3,c
14321,14,male,public,no formal,1.6,70.2,yes,30-60 min,yes,online videos,62.7,40.5,31.1,40.2,e
14322,16,male,private,post graduate,5.4,86.7,no,15-30 min,no,coaching,83.4,87.2,90.0,87.3,b
14323,16,other,public,no formal,5.9,68.3,no,15-30 min,no,group study,62.7,73.0,64.8,71.1,c
14324,15,other,private,no formal,5.6,87.8,yes,>60 min,no,group study,88.9,79.3,72.6,84.5,c
14325,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,41.4,43.6,23.8,50.0,e
14326,18,female,public,post graduate,6.2,95.2,yes,30-60 min,no,coaching,81.7,82.1,84.1,83.2,c
14327,15,other,private,high school,2.3,98.5,no,15-30 min,yes,mixed,36.8,60.4,48.8,53.0,e
14328,14,male,private,no formal,0.6,75.2,no,15-30 min,no,coaching,45.8,23.0,28.6,30.2,f
14329,14,other,private,diploma,4.6,71.6,yes,<15 min,yes,textbook,61.3,61.1,44.1,70.5,c
14330,16,female,private,phd,1.8,78.5,yes,15-30 min,no,notes,27.4,41.1,31.6,36.1,f
14331,16,male,public,graduate,4.6,63.6,yes,>60 min,no,textbook,80.1,81.5,57.3,61.9,d
14332,18,male,public,no formal,7.1,79.9,yes,<15 min,no,mixed,91.6,87.6,90.4,87.7,b
14333,17,male,private,high school,2.4,54.8,no,<15 min,no,group study,44.9,16.7,24.9,33.8,f
14334,17,female,private,post graduate,5.7,92.7,yes,>60 min,yes,notes,88.5,89.5,82.6,76.3,c
14335,15,male,private,phd,6.0,86.9,yes,30-60 min,no,online videos,100.0,82.2,84.1,87.9,b
14336,14,female,private,graduate,1.0,55.7,yes,15-30 min,yes,group study,53.3,24.4,47.5,33.8,f
14337,14,other,private,high school,3.1,64.1,yes,>60 min,yes,textbook,60.3,57.0,59.1,60.1,d
14338,19,female,public,high school,3.1,58.2,no,<15 min,yes,group study,43.9,48.0,51.2,44.1,e
14339,19,female,public,high school,6.5,83.7,yes,<15 min,yes,notes,77.7,70.5,71.3,81.2,c
14340,15,male,public,phd,4.3,91.3,yes,30-60 min,yes,coaching,60.8,76.2,79.1,72.1,c
14341,14,female,private,post graduate,3.8,62.0,yes,30-60 min,no,coaching,75.0,72.7,59.9,64.3,d
14342,16,female,public,diploma,4.8,75.9,no,>60 min,yes,online videos,63.9,62.0,71.7,66.4,d
14343,15,female,public,diploma,3.2,66.8,yes,30-60 min,no,notes,47.3,47.9,44.1,43.1,e
14344,14,male,public,diploma,1.5,51.5,yes,30-60 min,no,textbook,56.0,41.9,51.3,39.3,f
14345,16,male,public,no formal,0.8,77.1,yes,<15 min,no,online videos,41.8,37.3,61.4,46.7,e
14346,14,other,public,graduate,4.9,62.4,no,>60 min,no,online videos,42.2,53.0,47.2,60.4,d
14347,17,other,public,post graduate,6.3,67.8,no,15-30 min,yes,textbook,76.0,71.9,64.8,86.5,b
14348,17,female,private,diploma,7.9,97.3,no,>60 min,no,textbook,100.0,100.0,100.0,98.2,a
14349,14,female,private,no formal,4.3,96.3,yes,15-30 min,no,online videos,47.0,84.3,65.3,68.4,d
14350,16,male,public,graduate,2.5,66.8,yes,<15 min,yes,group study,26.5,46.5,48.8,46.7,e
14351,17,other,public,post graduate,4.1,55.2,yes,<15 min,no,coaching,54.3,65.6,54.9,57.0,d
14352,17,male,private,phd,1.2,57.7,yes,15-30 min,no,coaching,38.9,40.7,40.5,27.9,f
14353,14,male,private,post graduate,2.1,60.4,yes,>60 min,yes,mixed,56.0,44.5,38.8,46.3,e
14354,16,male,private,no formal,1.5,67.7,yes,30-60 min,yes,notes,64.6,32.6,53.9,46.7,e
14355,15,male,public,no formal,0.8,58.4,no,>60 min,no,notes,14.3,15.3,25.0,23.9,f
14356,15,female,private,diploma,7.7,59.4,yes,30-60 min,no,group study,65.5,73.4,77.6,76.1,c
14357,15,other,private,diploma,2.8,91.8,yes,>60 min,no,notes,58.5,62.5,51.0,57.7,d
14358,19,female,public,post graduate,3.8,54.2,no,>60 min,yes,textbook,66.7,52.7,80.3,54.6,e
14359,19,other,public,no formal,7.9,83.1,yes,>60 min,yes,group study,100.0,100.0,76.1,97.3,a
14360,18,male,private,no formal,6.0,72.4,yes,30-60 min,yes,online videos,69.1,72.3,100.0,72.8,c
14361,16,other,private,post graduate,3.3,78.7,yes,15-30 min,no,online videos,68.0,59.7,51.7,54.9,e
